Lesson_Number,Accompanying_Letter,Accompanying_Section,Accompanying_Subsection,Has_Non_Numbered_After,Non_Numbered_List
0,,0,0,True,§1.1
1,,1,1,False,None
2,,1,1,False,None
3,,1,1,False,None
4,,1,1,False,None
5,,1,1,False,None
6,,1,1,False,None
7,,1,1,False,None
8,,1,1,False,None
9,,1,1,True,§2.1
10,,2,1,False,None
11,,2,1,False,None
12,,2,1,False,None
13,,2,1,False,None
14,,2,1,False,None
15,,2,1,False,None
16,,2,1,False,None
17,,2,1,False,None
18,,2,1,True,Q1;§3.1
19,,3,1,False,None
20,,3,1,False,None
21,,3,1,False,None
22,,3,1,False,None
23,,3,1,False,None
24,,3,1,False,None
25,,3,1,False,None
26,,3,1,False,None
27,,3,1,False,None
28,,3,1,False,None
29,,3,1,False,None
30,,3,1,False,None
31,,3,1,False,None
32,,3,1,False,None
33,,3,1,False,None
34,,3,1,False,None
35,,3,1,False,None
36,,3,1,False,None
37,,3,1,False,None
38,,3,1,False,None
39,,3,1,False,None
40,,3,1,False,None
41,,3,1,False,None
42,,3,1,False,None
43,,3,1,False,None
44,,3,1,False,None
45,,3,1,False,None
46,,3,1,False,None
47,,3,1,False,None
48,,3,1,False,None
49,,3,1,True,Q2;§4.1
50,,4,1,True,§4.2
51,,4,2,False,None
52,,4,2,False,None
53,,4,2,False,None
54,,4,2,False,None
55,,4,2,False,None
56,,4,2,False,None
57,,4,2,False,None
58,,4,2,False,None
59,,4,2,False,None
60,,4,2,False,None
61,,4,2,False,None
62,,4,2,True,§4.3
63,,4,3,False,None
64,,4,3,False,None
65,,4,3,False,None
66,,4,3,False,None
67,,4,3,False,None
68,,4,3,False,None
69,,4,3,False,None
70,,4,3,False,None
71,,4,3,False,None
72,,4,3,False,None
73,,4,3,False,None
74,,4,3,False,None
75,,4,3,False,None
76,,4,3,False,None
77,,4,3,False,None
78,,4,3,False,None
79,,4,3,False,None
80,,4,3,False,None
81,,4,3,False,None
82,,4,3,False,None
83,,4,3,False,None
84,,4,3,False,None
85,,4,3,False,None
86,,4,3,True,§4.4
87,,4,4,False,None
88,,4,4,False,None
89,,4,4,False,None
90,,4,4,False,None
91,,4,4,False,None
92,,4,4,False,None
93,,4,4,False,None
94,,4,4,False,None
95,,4,4,False,None
96,,4,4,False,None
97,,4,4,False,None
98,,4,4,False,None
99,,4,4,True,§4.5
100,,4,5,False,None
101,,4,5,False,None
102,,4,5,False,None
103,,4,5,False,None
104,,4,5,False,None
105,,4,5,False,None
106,,4,5,False,None
107,,4,5,False,None
108,,4,5,False,None
109,,4,5,False,None
110,,4,5,False,None
111,,4,5,True,§4.6
112,,4,6,False,None
113,,4,6,False,None
114,,4,6,False,None
115,,4,6,False,None
116,,4,6,False,None
117,,4,6,False,None
118,,4,6,False,None
119,,4,6,False,None
120,,4,6,False,None
121,,4,6,True,§4.7
122,,4,7,False,None
123,,4,7,False,None
124,,4,7,False,None
125,,4,7,False,None
126,,4,7,False,None
127,,4,7,False,None
128,,4,7,True,§4.8
129,,4,8,False,None
130,,4,8,False,None
131,,4,8,False,None
132,,4,8,False,None
133,,4,8,True,§4.9
134,,4,9,False,None
135,,4,9,False,None
136,,4,9,False,None
137,,4,9,False,None
138,,4,9,False,None
139,,4,9,False,None
140,,4,9,False,None
141,,4,9,False,None
142,,4,9,False,None
143,,4,9,False,None
144,,4,9,False,None
145,,4,9,False,None
146,,4,9,True,§4.a
147,,4,a,False,None
148,,4,a,False,None
149,,4,a,False,None
150,,4,a,True,Q3;§5.1
151,,5,1,False,None
152,,5,1,False,None
153,,5,1,False,None
154,,5,1,False,None
155,,5,1,False,None
156,,5,1,False,None
157,,5,1,False,None
158,,5,1,False,None
159,,5,1,False,None
160,,5,1,False,None
161,,5,1,False,None
162,,5,1,True,Q4;§6.1
163,,6,1,False,None
164,,6,1,False,None
165,,6,1,False,None
166,,6,1,False,None
167,,6,1,False,None
168,,6,1,False,None
169,,6,1,False,None
170,,6,1,True,§7.1
171,,7,1,True,Q5;is;Prac;Test;§8.1
172,,8,1,False,None
173,,8,1,False,None
174,,8,1,False,None
175,,8,1,True,§9.1
176,,9,1,True,THE;END
