Lesson_Number,Accompanying_Tag,Accompanying_Section,Accompanying_Subsection,Has_Non_Numbered_After,Non_Numbered_List
0,Z,0,0,TRUE,§1
1,V,1,1,TRUE,
2,L,1,1,TRUE,<R
3,L,1,1,,<R
4,L,1,1,TRUE,
5,V,1,1,TRUE,<R
6,L,1,1,TRUE,<R
7,L,1,1,TRUE,<R
8,L,1,1,TRUE,<R
9,L,1,1,TRUE,<R
10,L,1,1,TRUE,<R;§2
11,L,2,1,,
12,L,2,1,TRUE,<R
13,L,2,1,TRUE,<R
14,L,2,1,TRUE,<R
15,L,2,1,TRUE,<R
16,L,2,1,TRUE,<R
17,L,2,1,,
18,L,2,1,TRUE,<R
19,L,2,1,TRUE,<R
20,L,2,1,TRUE,<R
21,L,2,1,TRUE,<R
22,L,2,1,TRUE,<R
23,L,2,1,TRUE,<R
24,L,2,1,TRUE,<R
25,L,2,1,TRUE,<R
26,L,2,1,TRUE,<R
27,L,2,1,TRUE,<R
28,L,2,1,TRUE,<R
29,L,2,1,TRUE,<R
30,L,2,1,TRUE,<R
31,L,2,1,TRUE,<R
32,L,2,1,,
33,L,2,1,,
34,V,2,1,,
35,L,2,1,TRUE,<R
36,L,2,1,TRUE,<R
37,L,2,1,TRUE,<R
38,L,2,1,TRUE,<R;§3
39,L,3,1,TRUE,<R
40,L,3,1,,
41,L,3,1,,
42,L,3,1,TRUE,<R
43,L,3,1,TRUE,<R
44,L,3,1,TRUE,<R
45,L,3,1,,
46,L,3,1,TRUE,<R
47,L,3,1,TRUE,<R
48,L,3,1,TRUE,<R
49,L,3,1,TRUE,<R
50,L,3,1,TRUE,<R
51,L,3,1,TRUE,<R
52,L,3,1,TRUE,<R
53,L,3,1,TRUE,<R
54,L,3,1,TRUE,<R
55,L,3,1,TRUE,<R
56,L,3,1,TRUE,<R
57,L,3,1,TRUE,<R
58,L,3,1,TRUE,<R
59,L,3,1,TRUE,<R
60,L,3,1,TRUE,<R
61,L,3,1,TRUE,<R
62,L,3,1,TRUE,<R
63,L,3,1,TRUE,<R
64,L,3,1,TRUE,<R;§4
65,,4,1,,
66,,4,1,,
67,,4,1,,
68,,4,1,,
69,,4,1,TRUE,§4
70,,4,1,TRUE,<R
71,,4,1,,
72,,4,1,,
73,,4,1,,
74,,4,1,,
75,,4,1,,
76,,4,1,,
77,,4,1,,
78,,4,1,,
79,,4,1,,
80,,4,1,,
81,,4,1,,
82,,4,1,,
83,,4,1,,
84,,4,1,,
85,,4,1,,
86,,4,1,,
87,,4,1,,
88,,4,1,,
89,,4,1,,
90,,4,1,,
91,,4,1,,
92,,4,1,,
93,,4,1,,
94,,4,1,,
95,,4,1,,
96,,4,1,,
97,,4,1,,
98,,4,1,,
99,,4,1,,
100,,4,1,,
101,,4,1,,
102,,4,1,,
103,,4,1,,
104,,4,1,TRUE,§5
105,,5,1,TRUE,<R
106,,5,1,,
107,,5,1,,
108,,5,1,,
109,,5,1,,
110,,5,1,,
111,,5,1,,
112,,5,1,,
113,,5,1,,
114,,5,1,,
115,,5,1,,
116,,5,1,,
117,,5,1,,
118,,5,1,,
119,,5,1,TRUE,<R
120,,5,1,,
121,,5,1,,
122,,5,1,,
123,,5,1,,
124,,5,1,,
125,,5,1,,
126,,5,1,,
127,,5,1,,
128,,5,1,,
129,,5,1,,
130,,5,1,,
131,,5,1,,
132,,5,1,,
133,,5,1,,
134,,5,1,,
135,,5,1,,
136,,5,1,,
137,,5,1,,
138,,5,1,,
139,,5,1,,
140,,5,1,,
141,,5,1,TRUE,§6
142,,6,1,TRUE,<R
143,,6,1,,
144,,6,1,,
145,,6,1,,
146,,6,1,,
147,,6,1,,
148,,6,1,,
149,,6,1,,
150,,6,1,,
151,,6,1,,
152,,6,1,,
153,,6,1,TRUE,§7
154,,7,1,,
155,,7,1,,
156,,7,1,,
157,,7,1,,
158,,7,1,,
159,,7,1,,
160,,7,1,,
161,,7,1,,
162,,7,1,,
163,,7,1,,
164,,7,1,,
165,,7,1,,
166,,7,1,,
167,,7,1,,
168,,7,1,,
169,,7,1,,
170,,7,1,,
171,,7,1,,
172,,7,1,,
173,,7,1,,
174,,7,1,,
175,,7,1,,
176,,7,1,,
177,,7,1,,
178,,7,1,,
179,,7,1,,
180,,7,1,,
181,,7,1,TRUE,§8
182,,8,1,,
183,,8,1,,
184,,8,1,,
185,,8,1,,
186,,8,1,,
187,,8,1,,
188,,8,1,,
189,,8,1,,
190,,8,1,,
191,,8,1,,
192,,8,1,,
193,,8,1,,
194,,8,1,,
195,,8,1,,
196,,8,1,,
197,,8,1,,
198,,8,1,,
199,,8,1,,
200,,8,1,,
201,,8,1,,
202,,8,1,,
203,,8,1,,
204,,8,1,TRUE,§9;MLST;PROJ
205,,9,1,,
206,,9,1,,
207,,9,1,,
208,,9,1,,
209,,9,1,,
210,,9,1,,
211,,9,1,,
212,,9,1,,
213,,9,1,,
214,,9,1,,
215,,9,1,,
216,,9,1,,
217,,9,1,,
218,,9,1,,
219,,9,1,,
220,,9,1,TRUE,§10
221,,10,1,,
222,,10,1,,
223,,10,1,,
224,,10,1,,
225,,10,1,,
226,,10,1,,
227,,10,1,,
228,,10,1,,
229,,10,1,,
230,,10,1,,
231,,10,1,,
232,,10,1,,
233,,10,1,,
234,,10,1,,
235,,10,1,,
236,,10,1,,
237,,10,1,,
238,,10,1,,
239,,10,1,,
240,,10,1,,
241,,10,1,,
242,,10,1,,
243,,10,1,,
244,,10,1,,
245,,10,1,,
246,,10,1,,
247,,10,1,,
248,,10,1,,
249,,10,1,,
250,,10,1,,
251,,10,1,,
252,,10,1,,
253,,10,1,,
254,,10,1,,
255,,10,1,TRUE,§11;MLST;PROJ
256,,11,1,,
257,,11,1,,
258,,11,1,,
259,,11,1,,
260,,11,1,,
261,,11,1,,
262,,11,1,,
263,,11,1,,
264,,11,1,,
265,,11,1,,
266,,11,1,,
267,,11,1,,
268,,11,1,,
269,,11,1,,
270,,11,1,,
271,,11,1,,
272,,11,1,,
273,,11,1,,
274,,11,1,,
275,,11,1,,
276,,11,1,,
277,,11,1,,
278,,11,1,,
279,,11,1,,
280,,11,1,,
281,,11,1,,
282,,11,1,,
283,,11,1,,
284,,11,1,,
285,,11,1,,
286,,11,1,,
287,,11,1,,
288,,11,1,,
289,,11,1,,
290,,11,1,,
291,,11,1,TRUE,§12;MLST;PROJ
292,,12,1,,
293,,12,1,,
294,,12,1,,
295,,12,1,,
296,,12,1,,
297,,12,1,,
298,,12,1,,
299,,12,1,,
300,,12,1,,
301,,12,1,,
302,,12,1,,
303,,12,1,,
304,,12,1,,
305,,12,1,,
306,,12,1,,
307,,12,1,,
308,,12,1,,
309,,12,1,,
