Lesson_Number,Accompanying_Tag,Accompanying_Section,Accompanying_Subsection,Has_Non_Numbered_After,Non_Numbered_List
0,Z,0,0,TRUE,§15.;APDX;  ML;PRMR
365,P,15,1,,
366,L,15,1,,
367,L,15,1,,
368,L,15,1,TRUE,<R
369,L,15,1,,
370,L,15,1,TRUE,<R
371,L,15,1,,
372,P,15,1,,
373,L,15,1,,
374,L,15,1,TRUE,§16.;APDX;  ML;DATA;FRME;WORK
375,P,16,1,,
376,L,16,1,,
377,L,16,1,,
378,L,16,1,TRUE,<R
379,L,16,1,,
380,L,16,1,,
381,L,16,1,,
382,L,16,1,,
383,L,16,1,,
384,L,16,1,,
385,L,16,1,,
386,L,16,1,,
387,L,16,1,,
388,L,16,1,,
389,L,16,1,,
390,P,16,1,TRUE,<OPT; -- ;::::;::::;::::;::::;::::;::::;::::;§17.;APDX;PAND;AS  ;DATA;ANYL
391,P,17,1,,
392,V,17,1,,
393,P,17,1,,
394,L,17,1,TRUE,<R
395,L,17,1,TRUE,<R
396,L,17,1,,
397,L,17,1,,
398,L,17,1,TRUE,<R
399,L,17,1,,
400,L,17,1,TRUE,<R
401,L,17,1,TRUE,<R
402,L,17,1,TRUE,<R
403,E,17,1,,
404,L,17,1,TRUE,<R; -- ;§18.;APDX; Num;Py  
405,P,18,1,,
406,V,18,1,,
407,L,18,1,TRUE,<R
408,P,18,1,,
409,L,18,1,,
410,L,18,1,,
411,L,18,1,,
412,L,18,1,,
413,L,18,1,TRUE,<R
414,L,18,1,TRUE,<R
415,L,18,1,TRUE,<R
416,L,18,1,,
417,L,18,1,TRUE,<R
418,E,18,1,,
419,L,18,1,,
420,L,18,1,,
421,L,18,1,TRUE,<R
422,E,18,1,,
423,P,18,1,TRUE,<OPT; -- ; THE;END 
