Lesson_Number,Accompanying_Tag,Accompanying_Section,Accompanying_Subsection,Has_Non_Numbered_After,Non_Numbered_List
0,Z,0,0,TRUE,§1
1,V,1,1,FALSE,
2,O,1,1,FALSE,
3,E,1,1,FALSE,
4,P,1,1,TRUE,<R
5,O,1,1,TRUE,<R;§2
6,V,2,1,TRUE,<R
7,V,2,1,FALSE,
8,V,2,1,FALSE,
9,O,2,1,FALSE,
10,V,2,1,FALSE,
11,V,2,1,FALSE,
12,V,2,1,FALSE,
13,V,2,1,FALSE,
14,V,2,1,FALSE,
15,P,2,2,FALSE,
16,L,2,3,FALSE,
17,L,2,3,FALSE,
18,L,2,3,FALSE,
19,L,2,3,FALSE,
20,L,2,3,FALSE,
21,L,2,3,FALSE,
22,L,2,3,FALSE,
23,L,2,3,FALSE,
24,L,2,3,FALSE,
25,L,2,3,FALSE,
26,L,2,3,FALSE,
27,L,2,3,FALSE,
28,L,2,3,FALSE,
29,L,2,3,FALSE,
30,L,2,3,FALSE,
31,L,2,3,FALSE,
32,L,2,3,FALSE,
33,L,2,3,FALSE,
34,L,2,3,FALSE,
35,L,2,3,FALSE,
36,C,2,3,FALSE,
37,O,2,3,FALSE,
38,O,2,3,TRUE,§3
39,L,3,1,TRUE,<R
40,L,3,1,FALSE,
41,L,3,1,FALSE,
42,L,3,1,FALSE,
43,P,3,1,FALSE,
44,L,3,1,FALSE,
45,L,3,2,FALSE,
46,L,3,2,FALSE,
47,L,3,2,FALSE,
48,L,3,3,FALSE,
49,L,3,3,FALSE,
50,L,3,3,FALSE,
51,L,3,3,FALSE,
52,L,3,3,FALSE,
53,L,3,3,FALSE,
54,L,3,3,FALSE,
55,L,3,3,FALSE,
56,L,3,4,FALSE,
57,L,3,4,FALSE,
58,L,3,4,FALSE,
59,L,3,4,FALSE,
60,L,3,4,FALSE,
61,L,3,4,FALSE,
62,L,3,5,FALSE,
63,L,3,5,FALSE,
64,L,3,5,FALSE,
65,L,3,6,FALSE,
66,L,3,6,FALSE,
67,L,3,6,FALSE,
68,C,3,6,FALSE,
69,P,3,6,TRUE,§4
70,L,4,1,TRUE,<R
71,L,4,1,FALSE,
72,L,4,1,FALSE,
73,L,4,1,FALSE,
74,L,4,1,FALSE,
75,L,4,1,FALSE,
76,L,4,2,FALSE,
77,L,4,2,FALSE,
78,L,4,2,FALSE,
79,P,4,2,FALSE,
80,L,4,2,FALSE,
81,L,4,3,FALSE,
82,L,4,3,FALSE,
83,L,4,3,FALSE,
84,L,4,3,FALSE,
85,L,4,3,FALSE,
86,L,4,4,FALSE,
87,L,4,4,FALSE,
88,L,4,4,FALSE,
89,L,4,4,FALSE,
90,L,4,4,FALSE,
91,L,4,4,FALSE,
92,L,4,4,FALSE,
93,L,4,4,FALSE,
94,L,4,5,FALSE,
95,L,4,5,FALSE,
96,L,4,5,FALSE,
97,L,4,5,FALSE,
98,L,4,5,FALSE,
99,L,4,5,FALSE,
100,L,4,5,FALSE,
101,L,4,5,FALSE,
102,L,4,5,FALSE,
103,L,4,5,FALSE,
104,C,4,5,TRUE,§5
105,L,5,1,TRUE,<R
106,L,5,1,FALSE,
107,L,5,2,FALSE,
108,L,5,2,FALSE,
109,L,5,2,FALSE,
110,L,5,2,FALSE,
111,L,5,3,FALSE,
112,L,5,3,FALSE,
113,L,5,4,FALSE,
114,L,5,4,FALSE,
115,L,5,4,FALSE,
116,L,5,4,FALSE,
117,L,5,4,FALSE,
118,L,5,4,FALSE,
119,L,5,4,TRUE,<R
120,L,5,4,FALSE,
121,L,5,4,FALSE,
122,L,5,4,FALSE,
123,L,5,4,FALSE,
124,L,5,4,FALSE,
125,L,5,4,FALSE,
126,L,5,4,FALSE,
127,L,5,4,FALSE,
128,L,5,5,FALSE,
129,L,5,5,FALSE,
130,L,5,5,FALSE,
131,L,5,6,FALSE,
132,L,5,6,FALSE,
133,L,5,6,FALSE,
134,L,5,6,FALSE,
135,L,5,6,FALSE,
136,L,5,6,FALSE,
137,L,5,6,FALSE,
